unknown,TB,DR,EF,CC,ER,LT,AA,DG,AG,NW
2812500.0,,12407040.0,16623900.0,12746400.0,21554160.0,,,27264120.0,,
3065580.0,,12410700.0,17063820.0,12747900.0,21554820.0,,,27268140.0,,
3072420.0,,12497880.0,17240820.0,13005000.0,21559260.0,,,27335460.0,,
3114000.0,,13513140.0,17250000.0,13349640.0,21559320.0,,,27348600.0,,
3148620.0,,13513380.0,17748060.0,13352880.0,21565920.0,,,27351840.0,,
3155820.0,,13603800.0,17759520.0,13434900.0,21567120.0,,,27358020.0,,
3235200.0,,13605840.0,17762760.0,13523700.0,21568140.0,,,27435660.0,,
3235260.0,,13607280.0,17842800.0,13523820.0,21820500.0,,,27435900.0,,
3239880.0,,14117580.0,17939760.0,13525800.0,21831900.0,,,27436020.0,,
3240000.0,,14119920.0,18267060.0,13526400.0,21983520.0,,,27520680.0,,
3241740.0,,14307960.0,18280500.0,13952940.0,22599600.0,,,27520800.0,,
3241920.0,,15331500.0,18354840.0,13955280.0,22605060.0,,,28457520.0,,
3243060.0,,15346260.0,18371280.0,14123880.0,22780380.0,,,28547280.0,,
3317880.0,,15423600.0,18791220.0,14218620.0,23023080.0,,,,,
3412920.0,,15424560.0,18792180.0,14302320.0,23194500.0,,,,,
3419760.0,,15434580.0,18794160.0,14720160.0,23288580.0,,,,,
3422400.0,,15854100.0,21289620.0,14729640.0,23295840.0,,,,,
3668400.0,,15945120.0,21378780.0,14733840.0,23725500.0,,,,,
3673860.0,,15946320.0,21380280.0,14734020.0,23727240.0,,,,,
3675840.0,,16113240.0,22164600.0,15251700.0,24842160.0,,,,,
3755100.0,,16114440.0,22501560.0,15252000.0,25697700.0,,,,,
3755520.0,,16115220.0,22767180.0,15259020.0,25705740.0,,,,,
3762720.0,,16116660.0,23104980.0,15515880.0,25706640.0,,,,,
3764220.0,,16383360.0,26059620.0,17067120.0,25714680.0,,,,,
3765660.0,,16384320.0,26310960.0,17067600.0,26055900.0,,,,,
3765900.0,,16454100.0,26995860.0,17152320.0,26144700.0,,,,,
3766260.0,,17152260.0,27260280.0,17757600.0,26146440.0,,,,,
3766620.0,,17325660.0,27337740.0,17757720.0,26218860.0,,,,,
3766920.0,,17333760.0,27604380.0,17845560.0,26223240.0,,,,,
3768660.0,,17669640.0,27856500.0,18363540.0,26224740.0,,,,,
3854340.0,,18185100.0,27861840.0,18450180.0,26656500.0,,,,,
3928080.0,,18189360.0,27966000.0,18969420.0,27355800.0,,,,,
3931560.0,,19045560.0,28029360.0,18974940.0,27432660.0,,,,,
3934800.0,,19061700.0,28120560.0,19062300.0,27433680.0,,,,,
4269000.0,,21207540.0,28213320.0,21465300.0,27434460.0,,,,,
4359480.0,,21210480.0,,21810060.0,28040160.0,,,,,
4362540.0,,21223980.0,,21895080.0,28040880.0,,,,,
